content_type,text
sport_fact,The Stanley Cup is the oldest professional sports trophy in North America.
sport_fact,The fastest goal in soccer history was scored just 2.1 seconds after kickoff.
sport_fact,Basketball was invented by a Canadian called Dr. James Naismith.
sport_fact,Table tennis is the fastest ball sport in the world.
sport_fact,The first Wimbledon tournament was held in 1877.
sport_fact,The longest tennis match lasted 11 hours and 5 minutes over three days.
body_fact,Your nose can remember 50000 different scents.
body_fact,Humans have around 206 bones as adults but start with 270 as babies.
body_fact,Your fingernails grow faster on your dominant hand.
body_fact,Your skin replaces itself every 27 days.
body_fact,The average human heart beats about 100000 times per day.
body_fact,You produce about 25000 quarts of saliva in a lifetime—enough to fill two swimming pools.
body_fact,The tongue is the only muscle in the body that is attached at just one end.
body_fact,Humans are the only animals that blush.
body_fact,The human brain generates enough electricity to power a lightbulb.
body_fact,You can’t tickle yourself because your brain predicts the sensation.
misc_fact,The dot over the lowercase "i" and "j" is called a "tittle."
misc_fact,Wombat poop is cube-shaped.
misc_fact,The inventor of the Pringles can is buried in one.
misc_fact,The average cloud weighs about 1.1 million pounds.
misc_fact,A group of porcupines is called a "prickle."
misc_fact,Scotland’s national animal is the unicorn.
misc_fact,There’s a basketball court in the U.S. Supreme Court building.
misc_fact,The longest hiccuping spree lasted 68 years.
misc_fact,The shortest war lasted 38 minutes (Anglo-Zanzibar War).
misc_fact,You’re more likely to be killed by a vending machine than a shark.
